;SW:5Q0-937-084-CP   HW:5Q0-937-084-CF ---  Cent. Elect.
;Component:BCM MQBAB M+  H36 0253, Coding:000000000000000000000000000000000000000000000000000000000000
IDE02711-ENG116690-Rear wiper-Automatisches Heckwischen,not active ,8
IDE02711-ENG133397-Rear wiper-Einzelansteuerung Heckintervallwischen,not active ,8
IDE02711-ENG133395-Rear wiper-Einzelansteuerung Heckintervallwischen Zeitintervall 1,8 s,8
IDE02711-ENG133396-Rear wiper-Einzelansteuerung Heckintervallwischen Zeitintervall 2,16 s,8
IDE02711-ENG112304-Rear wiper-Heckwischer,logikgesteuert ,8
IDE02711-ENG114947-Rear wiper-Heckwischer Weiterlauf,not active ,8
IDE02711-ENG114946-Rear wiper-Komfortwischen Heck,active ,8
IDE02711-ENG116695-Rear wiper-Komofortwischen Heck Intervallpausenzeit Stufe 1,5 s,8
IDE02711-ENG116696-Rear wiper-Komofortwischen Heck Intervallpausenzeit Stufe 2,3 s,8
IDE02711-ENG116694-Rear wiper-Komofortwischen Heck Intervallpausenzeit Stufe Automatik,7 s,8
IDE02711-ENG116693-Rear wiper-Komofortwischen Heck Intervallpausenzeit Stufe Intervall,7 s,8
IDE02711-ENG116689-Rear wiper-Menuesteuerung Komfortwischen HW,active ,8
IDE02711-ENG154784-Rear wiper-Spannungsanforderung_konfig_Wischer,Keine_Spannungsanforderung ,8
IDE02711-ENG116691-Rear wiper-Traenenwischen Heck,active ,8
IDE02711-ENG154831-Rear wiper-Zeit_wasch_min_heck,0 ms,8
IDE03638-IDE04231-Stationary cornering lamp-Steering wheel angle: offset,0.3 °,16
IDE03638-ENG116677-Stationary cornering lamp-Abdimmgeschwindigkeit,50.0 %/s,16
IDE03638-ENG116673-Stationary cornering lamp-bei Rueckwaertsfahrt,both sides ,16
IDE03638-ENG116675-Stationary cornering lamp-Lower speed threshold,0.0 km/h,16
IDE03638-ENG116682-Stationary cornering lamp-Maximaltemperatur,100.0 °C,16
IDE03638-ENG116679-Stationary cornering lamp-obere Grenztemperatur,95.0 °C,16
IDE03638-ENG116681-Stationary cornering lamp-Oberer Lenkradwinkel,120 °,16
IDE03638-ENG116680-Stationary cornering lamp-untere Grenztemperatur,80.0 °C,16
IDE03638-ENG116678-Stationary cornering lamp-Unterer Lenkradwinkel,80 °,16
IDE03638-ENG116676-Stationary cornering lamp-Upper speed threshold,40.0 km/h,16
IDE03638-ENG116674-Stationary cornering lamp-Vorschrift,ECE R119 ,16
IDE03638-ENG115830-Stationary cornering lamp-Zeitwert Einschaltzeit Abbiegelicht,15 min,16
IDE03787-Activate left/right hand drive switch-over,not active ,1
IDE04927-IDE01446-Window heater-Running time of heated front window,600 s,11
IDE04927-ENG126847-Window heater-Abschalttemperatur fuer Frontscheibenheizung,35.0 °C,11
IDE04927-ENG126846-Window heater-Abschalttemperatur fuer Heckscheibenheizung,35.0 °C,11
IDE04927-ENG142251-Window heater-Frontscheibenheizung _maximale_Dauer,0 s,11
IDE04927-ENG142035-Window heater-Frontscheibenheizung_LED_direkt,not installed ,11
IDE04927-ENG142018-Window heater-Frontscheibenheizungsansteuerung direkt von externem Algorithmus,not installed ,11
IDE04927-ENG126845-Window heater-FSH Automatik,active ,11
IDE04927-ENG115736-Window heater-Heckscheibenheizung Zeitwert,320 s,11
IDE04927-ENG141955-Window heater-heizbare Heckscheibe,installed ,11
IDE04927-ENG142021-Window heater-Heizbare_Frontscheibe,installed ,11
IDE04927-ENG116620-Window heater-Temperaturabhaengige Einschaltzeit FSH,active ,11
IDE04927-ENG116619-Window heater-Temperaturabhaengige Einschaltzeit HSH,active ,11
IDE04927-ENG141962-Window heater-Waschduesenheizung,installed ,11
IDE04927-ENG154810-Window heater-window heating front activation time pause,240 s,11
IDE04928-MAS01577-Anti-theft protection-Parking heater,not installed ,8
IDE04928-ENG115867-Anti-theft protection-Akustischer Alarm Signalhorn,not active ,8
IDE04928-ENG115864-Anti-theft protection-Alarmsignal,frequency modulated ,8
IDE04928-ENG141960-Anti-theft protection-Anti-theft alarm system,active ,8
IDE04928-ENG154588-Anti-theft protection-Deaktivierung DWA-Sensoren via Doppelklick,not_active ,8
IDE04928-ENG154589-Anti-theft protection-Deaktivierung_DWA_Sensoren_HMI,activ ,8
IDE04928-ENG115865-Anti-theft protection-DWA Alarmverzoegerung,not active ,8
IDE04928-ENG115812-Anti-theft protection-DWA Camper Modus,not active ,8
IDE04928-ENG142007-Anti-theft protection-DWA_Einfachhorn_oder_Sounder,Sounder_verbaut ,8
IDE04928-ENG141961-Anti-theft protection-Heckscheibenbruchsensor,not installed ,8
IDE04928-ENG142006-Anti-theft protection-IRUE_NGS_Deaktivierungstaster_direkt_am BCM_verdrahtet,No ,8
IDE04928-ENG142249-Anti-theft protection-OBD Alarm,activ ,8
IDE04928-ENG154722-Anti-theft protection-RHF_Panikalarm,not_active ,8
IDE04928-ENG142009-Anti-theft protection-Schliesszylinder in_Richtung Oeffnen_aktiv (Thatcham inaktiv),No ,8
IDE04928-ENG142010-Anti-theft protection-Sensor_fuer_Innenraumueberwachung,Yes ,8
IDE04928-ENG115866-Anti-theft protection-Sirenen Alarmzahl,10 Alarme ,8
IDE04928-ENG142008-Anti-theft protection-tilt_sensor,Yes ,8
IDE04928-ENG126842-Anti-theft protection-Ueberwachung Innenentriegelungshebel,not active ,8
IDE04928-ENG115868-Anti-theft protection-Verzoegerung Panikalarm,2 sekunden verzoegerung ,8
IDE05144-Read parameter address,00 00 00 ,3
IDE05145-Light configuration,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 3A 00 20 14 0B 7F 00 00 00 00 00 00 00 00 00 04 44 00 21 14 0C 7F 00 00 00 00 00 00 00 00 00 05 36 00 1A 0B 0F 7F 00 00 00 00 00 00 00 00 00 05 40 00 1B 0C 0F 7F 00 00 00 00 00 00 00 00 00 05 44 00 4B 46 00 7F 08 09 7F 00 00 00 00 00 00 05 3A 00 49 46 00 7F 08 0A 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 14 00 64 0B 00 0A 00 00 00 00 00 00 04 00 00 00 14 00 64 0C 00 0A 00 00 00 00 00 00 ,224
IDE05822-Anti-theft alarm system vehicle inclination sensor,100 %,1
IDE05823-DWA Interior monitoring parameter set,01 0A 08 00 43 53 0A C8 01 14 0A 03 81 33 0C 00 00 00 01 CD D6 06 00 0F 1E 00 85 0F 39 F7 64 23 45 42 57 9B 25 44 3F 3A 69 58 95 2D 09 A3 02 7A 06 56 00 0F 17 00 89 10 2F F7 69 0F E3 42 87 1B 05 34 3F 3A 69 58 93 08 09 A3 03 44 46 2A 00 0F 1C 00 88 0E 2F E7 69 1E 65 42 77 1B 05 24 3F 3A 69 47 93 08 09 A3 04 FF F6 46 00 0F 1E 00 85 1E 32 F7 44 0C 42 20 57 1B 05 24 3F 3A 69 58 92 05 09 A3 05 34 26 19 15 0C 12 18 86 09 26 33 67 23 45 42 57 9B 25 24 0C FA 0A 34 95 2D 09 A3 21 03 00 02 02 02 02 02 02 B1 10 23 29 66 ,172
IDE06089-ENG141976-Seat heater level current consumption allocation-Sitzheitzung_CAN,Heizmatten am BCM ,30
IDE06089-ENG116683-Seat heater level current consumption allocation-Sitzheizung Filterkonstante fuer Waermefluss,1 s,30
IDE06089-ENG116684-Seat heater level current consumption allocation-Sitzheizung Regeltemperaturkorrektur bei Waermefluss,0.00 °C,30
IDE06089-ENG115738-Seat heater level current consumption allocation-Sitzheizung Stufe 1 obere Schaltschwelle,22.50 °C,30
IDE06089-ENG115737-Seat heater level current consumption allocation-Sitzheizung Stufe 1 untere Schaltschwelle,21.50 °C,30
IDE06089-ENG115740-Seat heater level current consumption allocation-Sitzheizung Stufe 2 obere Schaltschwelle,22.50 °C,30
IDE06089-ENG115739-Seat heater level current consumption allocation-Sitzheizung Stufe 2 untere Schaltschwelle,21.50 °C,30
IDE06089-ENG115742-Seat heater level current consumption allocation-Sitzheizung Stufe 3 obere Schaltschwelle,36.00 °C,30
IDE06089-ENG115741-Seat heater level current consumption allocation-Sitzheizung Stufe 3 untere Schaltschwelle,35.00 °C,30
IDE06089-ENG115744-Seat heater level current consumption allocation-Sitzheizung Stufe 4 obere Schaltschwelle,36.00 °C,30
IDE06089-ENG115743-Seat heater level current consumption allocation-Sitzheizung Stufe 4 untere Schaltschwelle,35.00 °C,30
IDE06089-ENG115746-Seat heater level current consumption allocation-Sitzheizung Stufe 5 obere Schaltschwelle,53.50 °C,30
IDE06089-ENG115745-Seat heater level current consumption allocation-Sitzheizung Stufe 5 untere Schaltschwelle,52.50 °C,30
IDE06089-ENG115748-Seat heater level current consumption allocation-Sitzheizung Stufe 6 obere Schaltschwelle,53.50 °C,30
IDE06089-ENG115747-Seat heater level current consumption allocation-Sitzheizung Stufe 6 untere Schaltschwelle,52.50 °C,30
IDE06089-ENG154774-Seat heater level current consumption allocation-Sitzheizung.Aufheizphase HI,Keine_Spannungsanforderung ,30
IDE06089-ENG154775-Seat heater level current consumption allocation-Sitzheizung.Regelbetrieb LO,Keine_Spannungsanforderung ,30
IDE06089-ENG141977-Seat heater level current consumption allocation-Sitzheizungsfreigabe,not installed ,30
IDE06089-ENG154785-Seat heater level current consumption allocation-Spannungsoffset SIH_75,15.0 V,30
IDE06425-Dynamometer mode: functional,not active ,1
IDE06507-MAS13125-Button in center console-Function of button 1,not coded/not installed ,8
IDE06507-MAS13129-Button in center console-Function of button 2,not coded/not installed ,8
IDE06507-MAS13132-Button in center console-Function of button 3,Driving program ,8
IDE06507-MAS13135-Button in center console-Function of button 4,not coded/not installed ,8
IDE06507-ENG140243-Button in center console-Zusatzcodierung Fahrprofiltaster hat keine LED,LED installed ,8
IDE07007-ENG142253-Air conditioning/heating function via remote control-Abbruch_d_Warnblinker_moeglich,active ,8
IDE07007-ENG142252-Air conditioning/heating function via remote control-Abbruch_Hupen_RSt,not active ,8
IDE07007-ENG142255-Air conditioning/heating function via remote control-Aktivierung_Drehzahlanzeige,active ,8
IDE07007-ENG142254-Air conditioning/heating function via remote control-Kombi_Fahrerhinweis_m_Akustik,active ,8
IDE07007-ENG128461-Air conditioning/heating function via remote control-Kombi_Fahrerhinweis_m_Uebernahme_RSt,active ,8
IDE07007-ENG115720-Air conditioning/heating function via remote control-Remote Start,not installed ,8
IDE07007-ENG128460-Air conditioning/heating function via remote control-Rueckmeldung_bei_Aktivierung,active ,8
IDE07356-Position during interval mode,31.494474 °,2
IDE07470-ENG116719-After-run for park light-Bedingungen zur Beendigung des Standlichtnachlaufs,abschalten ueber Abschaltstufen des Energiemanagements oder nach der Nachlaufzeit ,6
IDE07470-ENG116720-After-run for park light-Standlicht-Nachlaufzeit,30 min,6
IDE07470-ENG126843-After-run for park light-ZV verriegeln bei Klemme 15 Ein,active ,6
IDE08577-Garage door opener: use of GPS data,No Response From Subnet Component,6
IDE08578-Garage door opener: bi-directional communic.,No Response From Subnet Component,6
IDE08579-Garage door opener: drift adapt.,No Response From Subnet Component,6
IDE08580-Garage door opener: increasing transm. power,No Response From Subnet Component,6
IDE08583-Garage door opener: no. of channels,No Response From Subnet Component,6
IDE08584-MAS07165-Garage door opener: freq. selection-Frequency range A,No Response From Subnet Component,6
IDE08584-MAS07166-Garage door opener: freq. selection-Frequency range B,No Response From Subnet Component,6
IDE08584-MAS07167-Garage door opener: freq. selection-Frequency range C,No Response From Subnet Component,6
IDE08584-MAS07168-Garage door opener: freq. selection-Frequency range D,No Response From Subnet Component,6
IDE08584-MAS07169-Garage door opener: freq. selection-Frequency range E,No Response From Subnet Component,6
IDE08584-MAS07170-Garage door opener: freq. selection-Frequency range F,No Response From Subnet Component,6
IDE08584-MAS07171-Garage door opener: freq. selection-Frequency range G,No Response From Subnet Component,6
IDE08584-MAS07172-Garage door opener: freq. selection-Frequency range H,No Response From Subnet Component,6
IDE08584-MAS07173-Garage door opener: freq. selection-Frequency range I,No Response From Subnet Component,6
IDE08584-MAS07174-Garage door opener: freq. selection-Frequency range J,No Response From Subnet Component,6
IDE08584-MAS07175-Garage door opener: freq. selection-Frequency range K,No Response From Subnet Component,6
IDE08584-MAS09302-Garage door opener: freq. selection-Frequency range US-I,No Response From Subnet Component,6
IDE08584-MAS09303-Garage door opener: freq. selection-Frequency range US-II,No Response From Subnet Component,6
IDE08584-MAS09304-Garage door opener: freq. selection-Frequency range US-III,No Response From Subnet Component,6
IDE08584-MAS09305-Garage door opener: freq. selection-Frequency range US-IV,No Response From Subnet Component,6
IDE08584-MAS10461-Garage door opener: freq. selection-Frequency range AB,No Response From Subnet Component,6
IDE08585-Garage door opener: activation via remote key,No Response From Subnet Component,6
IDE08778-Garage door opener: surround. target area,No Response From Subnet Component,6
IDE08786-ENG115723-Assistance light functions-Assistenzfahrlicht bei Regen,active ,9
IDE08786-ENG141956-Assistance light functions-Humidity sensor,installed ,9
IDE08786-ENG115724-Assistance light functions-Lichtsensorempfindlichkeit,normal ,9
IDE08786-ENG126628-Assistance light functions-LS_Error_Ausgabe,active ,9
IDE08786-ENG142228-Assistance light functions-Maskierung_Regenfunktion,not active ,9
IDE08786-ENG141985-Assistance light functions-Regen_Lichtsensor,LIN_REGEN_LICHT_SENSOR ,9
IDE08786-ENG124476-Assistance light functions-Sunlight photo sensor,not installed ,9
IDE09377-IDE00761-Multi contour seat driver's side-Run-on time,No Response From Subnet Component,9
IDE09377-IDE03006-Multi contour seat driver's side-Running time of massage function,No Response From Subnet Component,9
IDE09377-IDE03007-Multi contour seat driver's side-Component location,No Response From Subnet Component,9
IDE09377-IDE03099-Multi contour seat driver's side-Characteristics for manual seat adjustment,No Response From Subnet Component,9
IDE09377-IDE03100-Multi contour seat driver's side-Characteristics for seat adjustment using memory,No Response From Subnet Component,9
IDE09378-IDE00761-Multicontour seat passenger side-Run-on time,No Response From Subnet Component,9
IDE09378-IDE03006-Multicontour seat passenger side-Running time of massage function,No Response From Subnet Component,9
IDE09378-IDE03007-Multicontour seat passenger side-Component location,No Response From Subnet Component,9
IDE09378-IDE03099-Multicontour seat passenger side-Characteristics for manual seat adjustment,No Response From Subnet Component,9
IDE09378-IDE03100-Multicontour seat passenger side-Characteristics for seat adjustment using memory,No Response From Subnet Component,9
IDE09546-Multicontour seat on driver's side: reset compressor counter,No Response From Subnet Component,9
IDE09547-Multicontour seat on frt. pass. side: reset compressor counter,No Response From Subnet Component,9
IDE09548-Multicontour seat on driver's side: reset adaptation,No Response From Subnet Component,9
IDE09549-Multicontour seat on frt. pass. side: reset adaptation,No Response From Subnet Component,9
IDE09731-ENG154511-Int. light: 2nd generation-Ambiente_Fahrprofil_Individual,7 ,19
IDE09731-ENG154512-Int. light: 2nd generation-Ambiente_Farbliste_HMI_mit_Farbtransformation,not active ,19
IDE09731-ENG154513-Int. light: 2nd generation-Ambiente_Farbwahl_FPA_waehlbare_Kopplung,active ,19
IDE09731-ENG154514-Int. light: 2nd generation-Ambiente_Farbwahl_FPA_waehlbare_Kopplung_Status_hmi_default,coupled ,19
IDE09731-ENG125014-Int. light: 2nd generation-Aufloesung Dimmzeit,0.10 s,19
IDE09731-ENG125024-Int. light: 2nd generation-BAP Farbwert Farbe 1,2 ,19
IDE09731-ENG125025-Int. light: 2nd generation-BAP Farbwert Farbe 2,3 ,19
IDE09731-ENG125026-Int. light: 2nd generation-BAP Farbwert Farbe 3,1 ,19
IDE09731-ENG125018-Int. light: 2nd generation-Cockpitbeleuchtung mehrfarbig,not active ,19
IDE09731-ENG125021-Int. light: 2nd generation-Dachbeleuchtung mehrfarbig,not active ,19
IDE09731-ENG125028-Int. light: 2nd generation-Defaultwert Ambienteprofil Dach,80 %,19
IDE09731-ENG125029-Int. light: 2nd generation-Defaultwert Ambienteprofil Farbe,0 ,19
IDE09731-ENG115822-Int. light: 2nd generation-Defaultwert Ambienteprofil Fussraum,50 %,19
IDE09731-ENG125027-Int. light: 2nd generation-Defaultwert Ambienteprofil Mittelkonsole,80 %,19
IDE09731-ENG116685-Int. light: 2nd generation-Defaultwert Ambienteprofil Tuer,50 %,19
IDE09731-ENG115823-Int. light: 2nd generation-Defaultwert Ambienteprofil Vorn,50 %,19
IDE09731-ENG125641-Int. light: 2nd generation-Farbausgabe Cockpitbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125644-Int. light: 2nd generation-Farbausgabe Dachbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125640-Int. light: 2nd generation-Farbausgabe Instrumententafelbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125642-Int. light: 2nd generation-Farbausgabe Lautsprecherbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125643-Int. light: 2nd generation-Farbausgabe Mittelkonsolenbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125645-Int. light: 2nd generation-Farbausgabe Panoramaschiebedachbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125639-Int. light: 2nd generation-Farbausgabe Tuertafelbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125634-Int. light: 2nd generation-Helligkeit Cockpitbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125637-Int. light: 2nd generation-Helligkeit Dachbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125633-Int. light: 2nd generation-Helligkeit Instrumententafelbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125635-Int. light: 2nd generation-Helligkeit Lautsprecherbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125636-Int. light: 2nd generation-Helligkeit Mittelkonsolenbeleuchtung nicht berechnen,active ,19
IDE09731-ENG125638-Int. light: 2nd generation-Helligkeit Panoramaschiebedachbeleuchtung nicht berechnen,active ,19
IDE09731-ENG142233-Int. light: 2nd generation-Helligkeit_Tuertafelbeleuchtung_nicht_berechnen,not active ,19
IDE09731-ENG116596-Int. light: 2nd generation-Innenlicht bei offenem Heckdeckel einschalten,active ,19
IDE09731-ENG125017-Int. light: 2nd generation-Instrumententafelbeleuchtung mehrfarbig,active ,19
IDE09731-ENG98648-Int. light: 2nd generation-Interior lighting,Keine_Spannungsanforderung ,19
IDE09731-ENG116597-Int. light: 2nd generation-KL30G ohne PWM,not active ,19
IDE09731-ENG125019-Int. light: 2nd generation-Lautsprecherbeleuchtung mehrfarbig,not active ,19
IDE09731-ENG142031-Int. light: 2nd generation-LIN-Dachkonsole mit Flaechenlicht,not installed ,19
IDE09731-ENG125020-Int. light: 2nd generation-Mittelkonsolenbeleuchtung mehrfarbig,not active ,19
IDE09731-ENG125023-Int. light: 2nd generation-Panoramaschiebedachbeleuchtung bei geoeffnetem Rollo deaktivieren,not active ,19
IDE09731-ENG125022-Int. light: 2nd generation-Panoramaschiebedachbeleuchtung mehrfarbig,not active ,19
IDE09731-ENG116687-Int. light: 2nd generation-Tuerinnengriff mit Tuertafel,not installed ,19
IDE09731-ENG116686-Int. light: 2nd generation-Tuerinnengriffbeleuchtung mit I-Tafel,not installed ,19
IDE09731-ENG125016-Int. light: 2nd generation-Tuertafelbeleuchtung mehrfarbig,not active ,19
IDE09731-ENG142184-Int. light: 2nd generation-Weckfaehigkeit_klemme_30G,installed ,19
IDE09731-ENG125015-Int. light: 2nd generation-weicher Farbwechsel,active ,19
IDE09732-ENG154509-Interior light: light configuration-Ambience_light_colorlist_default,0 ,5
IDE09732-ENG133384-Interior light: light configuration-Ambient_Farbliste_HMI,active ,5
IDE09732-ENG115870-Interior light: light configuration-Ambiente_Applikationsleisten_in_Instrumententafel,installed ,5
IDE09732-ENG115871-Interior light: light configuration-Ambiente_Applikationsleisten_in_Tuertafel,not installed ,5
IDE09732-ENG115872-Interior light: light configuration-Ambiente_Lautsprecher,not installed ,5
IDE09732-ENG126836-Interior light: light configuration-Ambientemenue mit alle Zonen,active ,5
IDE09732-ENG126835-Interior light: light configuration-Ambientemenue mit globalem aus,active ,5
IDE09732-ENG125646-Interior light: light configuration-Cockpitbeleuchtung,not installed ,5
IDE09732-ENG125648-Interior light: light configuration-Dachbeleuchtung,not installed ,5
IDE09732-ENG125651-Interior light: light configuration-Farbwahl ueber Fahrprofil,not installed ,5
IDE09732-ENG125650-Interior light: light configuration-Farbwahl ueber HMI,not installed ,5
IDE09732-ENG114629-Interior light: light configuration-Footwell lighting,not installed ,5
IDE09732-ENG133385-Interior light: light configuration-Frei_Farbwahl_ueber_HMI,not active ,5
IDE09732-ENG126834-Interior light: light configuration-LIN-Dachkonsole lokal aktivierbar,not active ,5
IDE09732-ENG125647-Interior light: light configuration-Mittelkonsolenbeleuchtung,not installed ,5
IDE09732-ENG125649-Interior light: light configuration-Panoramaschiebedachbeleuchtung,not installed ,5
IDE09761-ENG126617-Seat fan charac. curve-Level_1_Lehne,30 %,17
IDE09761-ENG126616-Seat fan charac. curve-Level_1_Sitz,25 %,17
IDE09761-ENG126619-Seat fan charac. curve-Level_2_Lehne,30 %,17
IDE09761-ENG126618-Seat fan charac. curve-Level_2_Sitz,25 %,17
IDE09761-ENG126621-Seat fan charac. curve-Level_3_Lehne,58 %,17
IDE09761-ENG126620-Seat fan charac. curve-Level_3_Sitz,53 %,17
IDE09761-ENG126623-Seat fan charac. curve-Level_4_Lehne,58 %,17
IDE09761-ENG126622-Seat fan charac. curve-Level_4_Sitz,53 %,17
IDE09761-ENG126625-Seat fan charac. curve-Level_5_Lehne,85 %,17
IDE09761-ENG126624-Seat fan charac. curve-Level_5_Sitz,80 %,17
IDE09761-ENG126627-Seat fan charac. curve-Level_6_Lehne,85 %,17
IDE09761-ENG126626-Seat fan charac. curve-Level_6_Sitz,80 %,17
IDE09761-ENG142025-Seat fan charac. curve-Seat pneumatics,not installed ,17
IDE09761-ENG142024-Seat fan charac. curve-Sitzlueftung,not installed ,17
IDE09761-ENG142183-Seat fan charac. curve-Sitzlueftung_reduzierbar,not installed ,17
IDE10298-Alternating park position 1,7.494498 °,2
IDE10299-Alternating park position 2,29.494476 °,2
IDE10308-Garage door opener: support door name,No Response From Subnet Component,2
IDE10349-MAS10436-Garage door opener: Default/Fix kit mode-Default mode,No Response From Subnet Component,2
IDE10349-MAS10437-Garage door opener: Default/Fix kit mode-Fixkit mode: button 1,No Response From Subnet Component,2
IDE10349-MAS10438-Garage door opener: Default/Fix kit mode-Fixkit mode: button 2,No Response From Subnet Component,2
IDE10349-MAS10439-Garage door opener: Default/Fix kit mode-Fixkit mode: button 3,No Response From Subnet Component,2
IDE10350-Garage door opener: programming antenna,No Response From Subnet Component,2
IDE11477-ENG128587-Interior lighting: parameter-p_adaption_kundenwunsch_cockpit,1.00 ,256
IDE11477-ENG128619-Interior lighting: parameter-p_adaption_kundenwunsch_dach,1.00 ,256
IDE11477-ENG128539-Interior lighting: parameter-p_adaption_kundenwunsch_fussraum,0.00 ,256
IDE11477-ENG128571-Interior lighting: parameter-p_adaption_kundenwunsch_itafel,1.00 ,256
IDE11477-ENG128555-Interior lighting: parameter-p_adaption_kundenwunsch_lautsprecher,1.00 ,256
IDE11477-ENG128603-Interior lighting: parameter-p_adaption_kundenwunsch_miko,1.00 ,256
IDE11477-ENG128635-Interior lighting: parameter-p_adaption_kundenwunsch_psd,1.00 ,256
IDE11477-ENG128523-Interior lighting: parameter-p_adaption_kundenwunsch_tuer,0.00 ,256
IDE11477-ENG128659-Interior lighting: parameter-p_ambientelicht_verbauinformation_HMI,00000000  ,256
IDE11477-ENG128660-Interior lighting: parameter-p_ambientelicht_verbauinformation_HMI_2,00000000  ,256
IDE11477-ENG128661-Interior lighting: parameter-p_ambientelicht_verbauinformation_HMI_3,00000000  ,256
IDE11477-ENG128662-Interior lighting: parameter-p_ambientelicht_verbauinformation_HMI_4,0 ,256
IDE11477-ENG128655-Interior lighting: parameter-p_ambienteumfang_mehrfarbig_HMI,00000000  ,256
IDE11477-ENG128656-Interior lighting: parameter-p_ambienteumfang_mehrfarbig_HMI_2,00000000  ,256
IDE11477-ENG128657-Interior lighting: parameter-p_ambienteumfang_mehrfarbig_HMI_3,00000000  ,256
IDE11477-ENG128658-Interior lighting: parameter-p_ambienteumfang_mehrfarbig_HMI_4,00000000  ,256
IDE11477-ENG128652-Interior lighting: parameter-p_dimmfaktor_farbwechsel_ab,1 ,256
IDE11477-ENG128651-Interior lighting: parameter-p_dimmfaktor_farbwechsel_auf,1 ,256
IDE11477-ENG128654-Interior lighting: parameter-p_farbauswahl_HMI,00000000  ,256
IDE11477-ENG128653-Interior lighting: parameter-p_farbwechsel_delay,0 ,256
IDE11477-ENG128596-Interior lighting: parameter-p_helligkeit_andereTuer_auf_zuendung_aus_cockpit,100 %,256
IDE11477-ENG128628-Interior lighting: parameter-p_helligkeit_andereTuer_auf_zuendung_aus_dach,100 %,256
IDE11477-ENG128548-Interior lighting: parameter-p_helligkeit_andereTuer_auf_zuendung_aus_fussraum,0 %,256
IDE11477-ENG128516-Interior lighting: parameter-p_helligkeit_andereTuer_auf_zuendung_aus_innenlicht,100 %,256
IDE11477-ENG128580-Interior lighting: parameter-p_helligkeit_andereTuer_auf_zuendung_aus_itafel,100 %,256
IDE11477-ENG128564-Interior lighting: parameter-p_helligkeit_andereTuer_auf_zuendung_aus_lautsprecher,100 %,256
